"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"ZC3H13",8.29906850517682e-16,-0.909791091874055,0.12,0.177,1.52204916384943e-11
"C16orf54",8.51283949895521e-16,-0.744886183120087,0.184,0.253,1.56125476410839e-11
"MPI",8.64495962092474e-16,-1.82448397103879,0.028,0.079,1.5854855944776e-11
"PGM2",8.73101127329465e-16,1.21884707587348,0.105,0.044,1.60126746752224e-11
"PPA1",8.73697697593257e-16,-0.463363261088444,0.306,0.354,1.60236157738603e-11
"EIF2D",8.98099735736686e-16,-1.29672100895706,0.058,0.109,1.64711491534108e-11
"KIAA0907",9.17358617300467e-16,-1.22717758704397,0.066,0.121,1.68243570412906e-11
"NUP88",9.54457203182166e-16,-1.59176761676702,0.038,0.096,1.75047451063609e-11
"SFXN5",1.00170778477582e-15,1.46959602010825,0.068,0.022,1.83713207727885e-11
"RPL28",1.03841859082391e-15,-0.124826417402649,1,1,1.90445969557105e-11
"PPP4C",1.04992499639655e-15,0.462344198698149,0.449,0.328,1.92556244339128e-11
"APBB1IP",1.07429558360825e-15,-0.575057590093737,0.239,0.297,1.97025810033752e-11
"OSBPL10",1.07513979694969e-15,-3.2848373131851,0.006,0.044,1.97180638760573e-11
"PRKAR1B",1.07766038524637e-15,-2.51289873448724,0.012,0.057,1.97642914654184e-11
"FKBP2",1.1244546122333e-15,0.428200806710715,0.344,0.24,2.06224975883587e-11
"ZNF830",1.15076283585595e-15,-1.68886210291092,0.033,0.087,2.11049904095981e-11
"KRT10",1.21453946078072e-15,-0.388995501679576,0.413,0.462,2.22746537107184e-11
"XCL1",1.23085757078881e-15,-4.75283636952641,0.002,0.035,2.25739278482667e-11
"RP11-421L21.3",1.3201821006736e-15,-2.65836834919708,0.01,0.053,2.42121397263537e-11
"ANKRD36C",1.33576136836336e-15,-1.62110962486531,0.037,0.09,2.4497863495784e-11
"ARHGAP9",1.38293015443114e-15,-0.66677437542213,0.217,0.291,2.5362939032267e-11
"WAC",1.42111008133367e-15,0.533261838187356,0.326,0.22,2.60631588916596e-11
"MED4",1.47441914066074e-15,-0.586803217246481,0.234,0.292,2.70408470397179e-11
"PRR4",1.49359227210214e-15,-1.56060454792997,0.038,0.095,2.73924822703533e-11
"EEF1G",1.58737460732139e-15,-0.857556627096153,0.114,0.168,2.91124502982743e-11
"SLC35F6",1.679477734264e-15,1.02594549857427,0.113,0.051,3.08016216464017e-11
"RP3-525N10.2",1.71032614500518e-15,3.91247228495891,0.024,0.002,3.1367381499395e-11
"HIST3H2A",1.7439394204343e-15,-2.19448979452158,0.018,0.061,3.19838489707651e-11
"SIPA1",1.75961264124719e-15,-0.729678543564731,0.183,0.244,3.22712958404736e-11
"IL23A",1.78163306428157e-15,-2.23670550462632,0.016,0.063,3.2675150398924e-11
"AC005082.12",1.78183784133767e-15,1.8887198476524,0.058,0.016,3.26789060101328e-11
"ZHX2",1.82006860636471e-15,-2.93303669629667,0.008,0.047,3.33800582407288e-11
"TFE3",1.82172235646834e-15,1.64156209835776,0.075,0.025,3.34103880176294e-11
"DEF6",1.89221304794698e-15,-0.752097001087948,0.172,0.254,3.47031872993476e-11
